candidate_id,scenario,strategy,start_before_arrival_s,target_temp_c,max_thermal_power_w,arrival_core_temp_c,arrival_surface_temp_c,arrival_temperature_deviation_c,arrival_soc,preconditioning_energy_kwh,charge_time_s,charge_time_min,grid_energy_kwh,final_soc,peak_core_temp_c,relative_aging_damage,charge_status,preconditioning_status,max_route_power_closure_residual_w,charge_complete,final_soc_ok,arrival_soc_ok,temperature_ok,power_closure_ok,feasible,constraint_failure_reason
optimized-020,cold_arrival,optimized,1200.0,20.0,5000.0,-1.2701415020746245,7.262348584547382,26.270141502074626,0.1745470236899755,1.804385964912285,1365.0,22.75,52.776376123852465,0.8,22.62648509684541,0.00017247923542691178,charge_complete,optimized_preheat,6.821210263296962e-11,True,True,True,True,True,True,ok
optimized-021,cold_arrival,optimized,1200.0,25.0,2500.0,-6.546674710353665,-2.5351728670588907,31.546674710353663,0.18776925557645047,0.9271929824561427,1780.0,29.666666666666668,52.25296518820079,0.8,18.32154089632113,0.00012288610082099703,charge_complete,optimized_preheat,6.230038707144558e-11,True,True,True,True,True,True,ok
optimized-022,cold_arrival,optimized,1200.0,25.0,3750.0,-3.9112919493410656,2.361147759246369,28.911291949341066,0.18116710682239515,1.3657894736842142,1560.0,26.0,52.495672950057646,0.8,20.351909384819272,0.00014510021141948338,charge_complete,optimized_preheat,7.09405867382884e-11,True,True,True,True,True,True,ok
optimized-023,cold_arrival,optimized,1200.0,25.0,5000.0,-1.2701415020746245,7.262348584547382,26.270141502074626,0.1745470236899755,1.804385964912285,1365.0,22.75,52.776376123852465,0.8,22.62648509684541,0.00017247923542691178,charge_complete,optimized_preheat,6.821210263296962e-11,True,True,True,True,True,True,ok
optimized-024,cold_arrival,optimized,1200.0,30.0,2500.0,-6.546674710353665,-2.5351728670588907,31.546674710353663,0.18776925557645047,0.9271929824561427,1780.0,29.666666666666668,52.25296518820079,0.8,18.32154089632113,0.00012288610082099703,charge_complete,optimized_preheat,6.230038707144558e-11,True,True,True,True,True,True,ok
optimized-025,cold_arrival,optimized,1200.0,30.0,3750.0,-3.9112919493410656,2.361147759246369,28.911291949341066,0.18116710682239515,1.3657894736842142,1560.0,26.0,52.495672950057646,0.8,20.351909384819272,0.00014510021141948338,charge_complete,optimized_preheat,7.09405867382884e-11,True,True,True,True,True,True,ok
optimized-026,cold_arrival,optimized,1200.0,30.0,5000.0,-1.2701415020746245,7.262348584547382,26.270141502074626,0.1745470236899755,1.804385964912285,1365.0,22.75,52.776376123852465,0.8,22.62648509684541,0.00017247923542691178,charge_complete,optimized_preheat,6.821210263296962e-11,True,True,True,True,True,True,ok
optimized-027,cold_arrival,optimized,1200.0,35.0,2500.0,-6.546674710353665,-2.5351728670588907,31.546674710353663,0.18776925557645047,0.9271929824561427,1780.0,29.666666666666668,52.25296518820079,0.8,18.32154089632113,0.00012288610082099703,charge_complete,optimized_preheat,6.230038707144558e-11,True,True,True,True,True,True,ok
optimized-028,cold_arrival,optimized,1200.0,35.0,3750.0,-3.9112919493410656,2.361147759246369,28.911291949341066,0.18116710682239515,1.3657894736842142,1560.0,26.0,52.495672950057646,0.8,20.351909384819272,0.00014510021141948338,charge_complete,optimized_preheat,7.09405867382884e-11,True,True,True,True,True,True,ok
optimized-029,cold_arrival,optimized,1200.0,35.0,5000.0,-1.2701415020746245,7.262348584547382,26.270141502074626,0.1745470236899755,1.804385964912285,1365.0,22.75,52.776376123852465,0.8,22.62648509684541,0.00017247923542691178,charge_complete,optimized_preheat,6.821210263296962e-11,True,True,True,True,True,True,ok
