candidate_id,scenario,strategy,start_before_arrival_s,target_temp_c,max_thermal_power_w,arrival_core_temp_c,arrival_surface_temp_c,arrival_temperature_deviation_c,arrival_soc,preconditioning_energy_kwh,charge_time_s,charge_time_min,grid_energy_kwh,final_soc,peak_core_temp_c,relative_aging_damage,charge_status,preconditioning_status,max_route_power_closure_residual_w,charge_complete,final_soc_ok,arrival_soc_ok,temperature_ok,power_closure_ok,feasible,constraint_failure_reason,normalized_engineering_score,recommendation_basis
optimized-017,cold_arrival,optimized,1200.0,15.0,5000.0,-1.2701415020746245,7.262348584547382,26.270141502074626,0.1745470236899755,1.804385964912285,1365.0,22.75,52.776376123852465,0.8,22.62648509684541,0.00017247923542691178,charge_complete,optimized_preheat,6.821210263296962e-11,True,True,True,True,True,True,ok,0.3590455298029503,normalized Pareto objectives with 0.45/0.20/0.35 weights
optimized-006,mild_arrival,optimized,600.0,25.0,2500.0,25.38419755648503,23.233077684122755,0.38419755648503084,0.2392274602613345,0.05843082605653354,840.0,14.0,46.839333083455415,0.8,36.839826873564625,0.00036142427877751567,charge_complete,target_deadband,1.1823431123048067e-10,True,True,True,True,True,True,ok,0.33495888506070726,normalized Pareto objectives with 0.45/0.20/0.35 weights
optimized-032,hot_arrival,optimized,1800.0,15.0,5000.0,31.750047098888164,22.10339965761415,6.750047098888164,0.2781800502940747,0.908333333333337,725.0,12.083333333333334,39.3113587329334,0.75,45.03350889180307,0.00031620517458074066,charge_complete,optimized_precool,1.6484591469634324e-10,True,True,True,True,True,True,ok,0.27088209698936955,normalized Pareto objectives with 0.45/0.20/0.35 weights
