metric,p05,median,p95
peak_core_temp_c,33.549992254680554,34.7855743373276,36.46741640375336
peak_surface_temp_c,30.109778176031607,30.98747554797498,32.57481565242829
coolant_heat_rejection_kwh,0.4863678462276415,0.6140511153428496,0.679311814802086
