dataset_id,maturity,episode_id,time_s,observed_core_temp_c,predicted_core_temp_c,core_residual_c,observed_surface_temp_c,predicted_surface_temp_c,surface_residual_c
synthetic-battery-thermal-v1,synthetic,0,0.0,20.004570756196316,20.004570756196316,0.0,18.984400238406394,18.984400238406394,0.0
synthetic-battery-thermal-v1,synthetic,0,5.0,20.032544646724975,20.02563416511129,-0.006910481613687125,19.034871182610274,19.005710871393344,-0.029160311216930523
synthetic-battery-thermal-v1,synthetic,0,10.0,20.050499012139557,20.08363312417146,0.03313411203190242,19.024079984842196,19.029124017924584,0.005044033082388211
synthetic-battery-thermal-v1,synthetic,0,15.0,20.144392678407208,20.14584176097398,0.0014490825667721197,19.06496000198061,19.05579700970088,-0.009162992279730275
synthetic-battery-thermal-v1,synthetic,0,20.0,20.207382035966845,20.210487177167025,0.003105141200180128,19.086883848556674,19.08637683556538,-0.0005070129912958521
synthetic-battery-thermal-v1,synthetic,0,25.0,20.286181528417032,20.275334115267707,-0.01084741314932458,19.145701663269588,19.121359821898793,-0.02434184137079498
synthetic-battery-thermal-v1,synthetic,0,30.0,20.33723169659102,20.338095157537847,0.0008634609468280985,19.189986857053594,19.161055118034543,-0.02893173901905044
synthetic-battery-thermal-v1,synthetic,0,35.0,20.402465807424562,20.396850664741134,-0.005615142683428331,19.204021946555912,19.205563040844726,0.0015410942888145485
synthetic-battery-thermal-v1,synthetic,0,40.0,20.45495058223181,20.450401786423694,-0.004548795808116068,19.25103938138294,19.254769472744755,0.003730091361813237
synthetic-battery-thermal-v1,synthetic,0,45.0,20.511058424643142,20.498492067939242,-0.012566356703899828,19.31754869245661,19.308355790807333,-0.00919290164927844
synthetic-battery-thermal-v1,synthetic,0,50.0,20.538808256021305,20.541857136357983,0.0030488803366779393,19.364827916995083,19.365822273984282,0.0009943569891994741
synthetic-battery-thermal-v1,synthetic,0,55.0,20.60046362693508,20.582093299135874,-0.01837032779920733,19.43269676975052,19.42652179401131,-0.006174975739209998
synthetic-battery-thermal-v1,synthetic,0,60.0,20.61527330298964,20.62136891856691,0.006095615577269342,19.492186856015664,19.48969997273163,-0.002486883284035457
synthetic-battery-thermal-v1,synthetic,0,65.0,20.670647495973355,20.662031107935444,-0.008616388037911094,19.56707455700638,19.554537921249867,-0.012536635756511316
synthetic-battery-thermal-v1,synthetic,0,70.0,20.71332455805202,20.706179400533497,-0.007145157518522183,19.633015117479154,19.620194108205766,-0.012821009273388029
synthetic-battery-thermal-v1,synthetic,0,75.0,20.788715530967654,20.755284085237783,-0.033431445729871,19.685433710692866,19.685842701916425,0.00040899122355853024
synthetic-battery-thermal-v1,synthetic,0,80.0,20.803928482270866,20.80991877902296,0.005990296752095503,19.7435472529487,19.75070671217162,0.00715945922291894
synthetic-battery-thermal-v1,synthetic,0,85.0,20.881006637279565,20.86965599768397,-0.011350639595594458,19.835463794972227,19.814085227578886,-0.02137856739334154
