architecture,rank_max_battery_temp_c,rank_max_motor_temp_c,rank_pump_energy_kwh,rank_auxiliary_energy_kwh,engineering_rank_score
shared_heat_sink,1.3333333333333333,2.0,1.3333333333333333,1.5,6.166666666666666
independent_dual_loop,1.75,2.8333333333333335,1.75,1.9166666666666667,8.25
coupled_dual_loop,2.9166666666666665,1.1666666666666667,2.9166666666666665,2.5833333333333335,9.583333333333334
