scenario,architecture,feasible,infeasibility_reason,pump_scale,radiator_ua_scale,local_resistance_scale,distance_km,battery_energy_kwh,auxiliary_energy_kwh,net_energy_kwh,consumption_kwh_100km,equivalent_range_km,max_battery_temp_c,max_motor_temp_c,cabin_comfort_rmse_c,waste_heat_recovered_kwh,energy_balance_error_pct,thermal_balance_error_pct,pump_energy_kwh,mean_battery_flow_kg_s,mean_powertrain_flow_kg_s,max_battery_pressure_drop_kpa,max_powertrain_pressure_drop_kpa,hydraulic_solver_failures,liquid_hx_energy_kwh
urban_hot,independent_dual_loop,True,ok,1.0,1.0,1.0,6.873592193310104,1.461055305344923,0.38589296536239764,1.160558043359233,16.88430169728101,444.1995964338741,38.04122572519552,43.52060494599807,4.893559877448472,0.0,1.0358819960219844e-12,2.6980139777401303e-12,0.0017830096024038747,0.16359468248746017,0.10295379202946676,24.835140495183534,3.1454305160996516,0.0,0.0
urban_hot,coupled_dual_loop,True,ok,1.0,1.0,1.0,6.873592193310104,1.461952970479444,0.3870204309804123,1.1616855089772473,16.90070455602366,443.76848167119107,38.11004838428563,43.09478082343616,4.913689077812034,0.0,1.001905476069936e-12,2.6663143524022644e-12,0.0019961953115064,0.16417525455288198,0.10287193511207111,24.841614679367297,3.1550873331774483,0.0,0.24070014547825608
urban_hot,shared_heat_sink,True,ok,1.0,1.0,1.0,6.873592193310104,1.4593786937741773,0.3840854334592522,1.1587505114560872,16.85800493930772,444.8925022267784,38.041157785877296,47.6790188488698,4.8847171396020785,0.0,9.662356591849629e-13,2.6437928602470775e-12,0.001664909109502106,0.15962478089674254,0.10306920224229846,25.009523838892463,3.1420387899933675,0.0,0.0
cold_start,independent_dual_loop,True,ok,1.0,1.0,1.0,6.867758726462447,3.559930230991774,2.739777253118083,3.5110035882779096,51.122989728068276,146.70503505162262,-10.705803834018862,-8.883677403596648,16.441520623935354,0.0,1.8261635343273365e-13,6.597103887485963e-13,5.6735874525440066e-05,0.019528134966343095,0.0,5.172461032636676,0.0,0.0,0.0
cold_start,coupled_dual_loop,True,ok,1.0,1.0,1.0,6.867758726462447,3.559930230991774,2.739777253118083,3.5110035882779096,51.122989728068276,146.70503505162262,-10.705803834018862,-8.883677403596648,16.441520623935354,0.0,1.8261635343273365e-13,6.597103887485963e-13,5.6735874525440066e-05,0.019528134966343095,0.0,5.172461032636676,0.0,0.0,0.0
cold_start,shared_heat_sink,True,ok,1.0,1.0,1.0,6.867758726462447,3.559928623993146,2.739775602067909,3.5110019372277375,51.12296568747167,146.70510403972847,-10.777987068134482,-8.883677403596648,16.441520623935354,0.0,1.8258143009055734e-13,6.942285468508323e-13,5.508482435265185e-05,0.01879911824324405,0.0,5.174521463813361,0.0,0.0,0.0
highway_hot,independent_dual_loop,True,ok,1.0,1.0,1.0,24.42938400834174,4.010487004626902,0.3005301427068499,4.010487004626902,16.416652189254823,456.8531947645798,35.74126836125044,43.07212930682721,2.7902558626806817,0.0,4.1891142451529296e-13,2.6781446172771457e-12,0.0004200214768604073,0.08366162528476355,0.10290063193084725,7.911670014719636,3.1518610776189675,0.0,0.0
highway_hot,coupled_dual_loop,True,ok,1.0,1.0,1.0,24.42938400834174,4.014358031021901,0.30440116910184856,4.014358031021901,16.43249796904885,456.4126533973409,35.99006541020111,41.53081411191831,2.7902739965419996,0.0,4.168082669544779e-13,3.1244429000181936e-12,0.00045030283730305314,0.0875622877611608,0.10283595700957883,9.1001267543039,3.1571354411402806,0.0,0.20773400724775817
highway_hot,shared_heat_sink,True,ok,1.0,1.0,1.0,24.42938400834174,4.002883223041178,0.2929263611211244,4.002883223041178,16.385526633313148,457.72102220699287,35.44803827544759,47.002252832535795,2.7902183073220335,0.0,3.9347942462420547e-13,3.072641737191179e-12,0.0003687316918379594,0.07403277197201441,0.10300522837504682,6.901254682731336,3.151377709270485,0.0,0.0
aggressive,independent_dual_loop,True,ok,1.0,1.0,1.0,16.24992831485109,4.726933992326464,0.08458236804840384,2.5206456662649517,15.511734066920715,483.50493682031316,31.66522825192706,42.08751651268849,1.0524644970465387,0.0,2.0911129287714224e-13,2.320566221459613e-12,1.4365491202948762e-05,0.010439491766261882,0.04092846823882854,0.7869572714122329,0.8082933547406674,0.0,0.0
