architecture,scenario,pump_scale,radiator_ua_scale,feasible,infeasibility_reason,max_battery_flow_kg_s,max_powertrain_flow_kg_s,battery_design_flow_capacity_kg_s,powertrain_design_flow_capacity_kg_s,distance_km,battery_energy_kwh,auxiliary_energy_kwh,net_energy_kwh,consumption_kwh_100km,equivalent_range_km,max_battery_temp_c,max_motor_temp_c,cabin_comfort_rmse_c,waste_heat_recovered_kwh,energy_balance_error_pct,thermal_balance_error_pct,pump_energy_kwh,mean_battery_flow_kg_s,mean_powertrain_flow_kg_s,max_battery_pressure_drop_kpa,max_powertrain_pressure_drop_kpa,hydraulic_solver_failures,liquid_hx_energy_kwh
independent_dual_loop,hill_high_load,1.0,1.0,True,ok,0.00973418643294328,0.04194045352167705,0.25694750624275614,0.34784255337901204,10.199508935091623,6.072086143165021,0.010576847023240004,6.072086143165021,59.533122445472664,125.98028949127217,29.188397487303156,39.659247456276624,0.7302963033504126,0.0,1.5448442393522523e-13,2.2844143785258966e-12,5.366840597669259e-06,0.007963902591430046,0.031355978237164496,0.6909829094094204,0.5796522455692406,0.0,0.0
independent_dual_loop,hill_high_load,1.0,1.25,True,ok,0.009734186432943284,0.041939854460263416,0.25694750624275614,0.34784255337901204,10.199508935091623,6.072086143377362,0.01057684723558076,6.072086143377362,59.53312244755454,125.98028948686664,29.18839748740852,39.65043215137669,0.7302963033504126,0.0,1.4911720316845818e-13,2.4722018118503035e-12,5.367052938425993e-06,0.007963902591430408,0.031354601785468283,0.6909829094094202,0.5796733379334351,0.0,0.0
independent_dual_loop,hill_high_load,1.2,0.75,True,ok,0.013538976074183789,0.050859111923770246,0.3127519105542112,0.4180363157535246,10.199508935091623,6.072090281275485,0.010580985133703593,6.072090281275485,59.53316301713636,125.98020363610041,29.179109772615345,39.13514650700834,0.7302963033504126,0.0,1.4096226005970943e-13,2.3407586889083322e-12,9.504951061258413e-06,0.011154995830959524,0.038133609517384245,0.9753467849566315,0.8121639909035769,0.0,0.0
independent_dual_loop,hill_high_load,1.2,1.0,True,ok,0.013538976074183888,0.05085570507824579,0.3127519105542112,0.4180363157535246,10.199508935091623,6.072090282884218,0.010580986742432852,6.072090282884218,59.53316303290901,125.98020360272335,29.17910977341062,39.084922656124725,0.7302963033504126,0.0,1.556076896350761e-13,2.3973687226170324e-12,9.50655979051775e-06,0.011154995830964782,0.03812677990495379,0.9753467849566306,0.8123094465424476,0.0,0.0
independent_dual_loop,hill_high_load,1.2,1.25,True,ok,0.013538976074183914,0.050854282335410055,0.3127519105542112,0.4180363157535246,10.199508935091623,6.072090283570049,0.010580987428267002,6.072090283570049,59.53316303963317,125.9802035884941,29.179109773749765,39.06351930913245,0.7302963033504126,0.0,1.671326441693849e-13,2.3152176335803568e-12,9.50724562466837e-06,0.01115499583096697,0.038123871846998475,0.9753467849566299,0.8123701878177702,0.0,0.0
coupled_dual_loop,hill_high_load,0.4,0.75,False,battery_design_flow_envelope;powertrain_design_flow_envelope,0.0016869492176507744,0.015270311728439902,0.09660712992384309,0.13778902758173167,10.199508935091623,6.072081089538082,0.010571793396297154,6.072081089538082,59.533072897725106,125.9803943412199,29.21309541800513,41.64830396401152,0.7302963033504126,0.0,1.5852037302907175e-13,2.6016488740829254e-12,3.132136548208438e-07,0.001356929943956802,0.011126898441599822,0.11572648447474167,0.11300073757106277,0.0,0.0032392181327483304
coupled_dual_loop,hill_high_load,0.4,1.0,False,battery_design_flow_envelope;powertrain_design_flow_envelope,0.0016869492119917127,0.01527030983566209,0.09660712992384309,0.13778902758173167,10.199508935091623,6.07208108953817,0.010571793396385587,6.07208108953817,59.53307289772597,125.98039434121806,29.213095409702586,41.64828325194931,0.7302963033504126,0.0,1.3884054719107736e-13,2.1748304365798248e-12,3.132137432523917e-07,0.0013569298050998754,0.011126891062722273,0.11572648448275603,0.11300076183556612,0.0,0.0032391342208966467
coupled_dual_loop,hill_high_load,0.4,1.25,False,battery_design_flow_envelope;powertrain_design_flow_envelope,0.0016869492116847956,0.015270309714726654,0.09660712992384309,0.13778902758173167,10.199508935091623,6.072081089538176,0.010571793396391043,6.072081089538176,59.53307289772602,125.98039434121797,29.213095409189293,41.64828197336546,0.7302963033504126,0.0,1.2610898967220709e-13,2.6924528762817656e-12,3.1321374870833953e-07,0.0013569297965275006,0.011126890607141636,0.11572648448319069,0.11300076338590026,0.0,0.003239129040105562
coupled_dual_loop,hill_high_load,0.6,0.75,True,ok,0.003730035567555223,0.024126655733950335,0.15845009061693988,0.20768414043998062,10.199508935091623,6.072081870038367,0.010572573896583622,6.072081870038367,59.53308055005711,125.98037814780618,29.20800302340051,40.88601464762287,0.7302963033504126,0.0,1.5298670254726206e-13,2.4237864428047138e-12,1.0937139412868425e-06,0.0030226636876334455,0.017829765246669547,0.2572321937733233,0.23014311110217858,0.0,0.006948118690201006
coupled_dual_loop,hill_high_load,0.6,1.0,True,ok,0.0037300335817545853,0.024126569595352785,0.15845009061693988,0.20768414043998062,10.199508935091623,6.0720818700481125,0.010572573906327149,6.0720818700481125,59.53308055015265,125.98037814760401,29.208001607264002,40.88492348200529,0.7302963033504126,0.0,1.72208855545853e-13,2.4470755348069313e-12,1.0937236848131363e-06,0.0030226418511329163,0.017829498703211526,0.2572321999916337,0.23014485579125682,0.0,0.00694200216781005
