time_s,soc,battery_core_temp_c,battery_surface_temp_c,requested_traction_power_w,available_traction_power_w,actual_traction_power_w,preconditioning_thermal_power_w,preconditioning_aux_power_w,battery_terminal_power_w,power_closure_residual_w,preconditioning_reason
0.0,0.3496978168688718,24.00748213901169,23.996315789473684,15300.0,220000.0,15300.0,0.0,0.0,15299.999999999958,-4.18367562815547e-11,temperature_in_benefit_band
5.0,0.3493899970814405,24.015078448735434,23.99286169264173,15582.226850822663,220000.0,15582.226850822663,0.0,0.0,15582.22685082263,-3.2741809263825417e-11,temperature_in_benefit_band
10.0,0.3490765996221654,24.022788816936743,23.98963496675084,15861.36156520795,220000.0,15861.36156520795,0.0,0.0,15861.361565208043,9.276845958083868e-11,temperature_in_benefit_band
15.0,0.348757744476787,24.030611212803752,23.986632926710545,16134.345884812357,220000.0,16134.345884812357,0.0,0.0,16134.345884812297,-6.002665031701326e-11,temperature_in_benefit_band
20.0,0.34843361137605705,24.03854169019384,23.983852905462154,16398.18893630466,220000.0,16398.18893630466,0.0,0.0,16398.188936304672,1.0913936421275139e-11,temperature_in_benefit_band
25.0,0.34810443787975137,24.04657441550962,23.981292215278305,16650.0,220000.0,16650.0,0.0,0.0,16650.000000000025,2.546585164964199e-11,temperature_in_benefit_band
30.0,0.34777051681981846,24.05470172125915,23.978948110465314,16887.020181189677,220000.0,16887.020181189677,0.0,0.0,16887.020181189593,-8.36735125631094e-11,temperature_in_benefit_band
35.0,0.3474321931288474,24.062914185839386,23.976817751951387,17106.652637168914,220000.0,17106.652637168914,0.0,0.0,17106.65263716896,4.729372449219227e-11,temperature_in_benefit_band
40.0,0.34708986008715803,24.071200739510196,23.97489817424397,17306.49102878896,220000.0,17306.49102878896,0.0,0.0,17306.49102878896,0.0,temperature_in_benefit_band
45.0,0.3467439550286366,24.079548795916555,23.97318625522832,17484.345884812356,220000.0,17484.345884812356,0.0,0.0,17484.345884812396,4.001776687800884e-11,temperature_in_benefit_band
50.0,0.34639495455186314,24.087944407890358,23.971678689256137,17638.268590217984,220000.0,17638.268590217984,0.0,0.0,17638.26859021797,-1.4551915228366852e-11,temperature_in_benefit_band
55.0,0.3460433692890139,24.096372445642448,23.970371963938085,17766.57273563502,220000.0,17766.57273563502,0.0,0.0,17766.572735635076,5.4569682106375694e-11,temperature_in_benefit_band
60.0,0.3456897382903812,24.10481679486287,23.969262341007024,17867.852593996915,220000.0,17867.852593996915,0.0,0.0,17867.85259399685,-6.548361852765083e-11,temperature_in_benefit_band
65.0,0.34533462308705687,24.1132605717051,23.968345841561234,17940.998521981273,220000.0,17940.998521981273,0.0,0.0,17940.99852198118,-9.458744898438454e-11,temperature_in_benefit_band
70.0,0.34497860149829634,24.12168635115873,23.967618235929656,17985.209117494338,220000.0,17985.209117494338,0.0,0.0,17985.209117494436,9.822542779147625e-11,temperature_in_benefit_band
75.0,0.3446222612532574,24.130076404932968,23.967075038325945,18000.0,220000.0,18000.0,0.0,0.0,18000.000000000047,4.729372449219227e-11,temperature_in_benefit_band
80.0,0.34426619349913873,24.138412944695432,23.96671150637696,17985.209117494338,220000.0,17985.209117494338,0.0,0.0,17985.209117494287,-5.093170329928398e-11,temperature_in_benefit_band
85.0,0.3439109862691875,24.14667836634773,23.966522645526318,17940.998521981273,220000.0,17940.998521981273,0.0,0.0,17940.99852198128,7.275957614183426e-12,temperature_in_benefit_band
90.0,0.3435572179845813,24.15485549097822,23.966503218227302,17867.852593996915,220000.0,17867.852593996915,0.0,0.0,17867.85259399683,-8.36735125631094e-11,temperature_in_benefit_band
95.0,0.34320545106380446,24.16292779821451,23.966647757754007,17766.57273563502,220000.0,17766.57273563502,0.0,0.0,17766.57273563508,5.820766091346741e-11,temperature_in_benefit_band
100.0,0.34285622571183894,24.170879647900808,23.96695058637788,17638.268590217984,220000.0,17638.268590217984,0.0,0.0,17638.268590218002,1.8189894035458565e-11,temperature_in_benefit_band
105.0,0.34251005395929596,24.178696486340602,23.967405837580802,17484.345884812356,220000.0,17484.345884812356,0.0,0.0,17484.3458848124,4.3655745685100555e-11,temperature_in_benefit_band
110.0,0.3421674140185616,24.186365033760868,23.968007481907822,17306.49102878896,220000.0,17306.49102878896,0.0,0.0,17306.491028789012,5.093170329928398e-11,temperature_in_benefit_band
115.0,0.3418287450201615,24.193873450154538,23.968749356004526,17106.652637168914,220000.0,17106.652637168914,0.0,0.0,17106.65263716887,-4.3655745685100555e-11,temperature_in_benefit_band
120.0,0.34149444218793523,24.201211477224334,23.96962519433699,16887.020181189677,220000.0,16887.020181189677,0.0,0.0,16887.020181189593,-8.36735125631094e-11,temperature_in_benefit_band
125.0,0.34116485250631245,24.208370554761963,23.970628663057802,16650.0,220000.0,16650.0,0.0,0.0,16649.999999999978,-2.1827872842550278e-11,temperature_in_benefit_band
130.0,0.3408402709270865,24.21534391042986,23.971753395459938,16398.18893630466,220000.0,16398.18893630466,0.0,0.0,16398.1889363047,4.001776687800884e-11,temperature_in_benefit_band
135.0,0.34052093715667314,24.222126622545332,23.97299302845191,16134.345884812357,220000.0,16134.345884812357,0.0,0.0,16134.345884812383,2.546585164964199e-11,temperature_in_benefit_band
140.0,0.34020703305801225,24.22871565607708,23.974341239491892,15861.361565207952,220000.0,15861.361565207952,0.0,0.0,15861.36156520795,-1.8189894035458565e-12,temperature_in_benefit_band
145.0,0.3398986806941184,24.235109872631075,23.975791783435056,15582.226850822664,220000.0,15582.226850822664,0.0,0.0,15582.226850822712,4.729372449219227e-11,temperature_in_benefit_band
150.0,0.33959594103290497,24.241310015708855,23.977338528775807,15300.0,220000.0,15300.0,0.0,0.0,15299.999999999929,-7.09405867382884e-11,temperature_in_benefit_band
155.0,0.33929881332539497,24.24731867295134,23.978975492803563,15017.773149177336,220000.0,15017.773149177336,0.0,0.0,15017.773149177287,-4.9112713895738125e-11,temperature_in_benefit_band
160.0,0.3390072351618799,24.25314021742389,23.980696875235566,14738.63843479205,220000.0,14738.63843479205,0.0,0.0,14738.63843479206,9.094947017729282e-12,temperature_in_benefit_band
165.0,0.33872108320309113,24.258780730246766,23.98249708994074,14465.654115187644,220000.0,14465.654115187644,0.0,0.0,14465.654115187595,-4.9112713895738125e-11,temperature_in_benefit_band
170.0,0.338440174576083,24.264247907025815,23.984370794423285,14201.811063695339,220000.0,14201.811063695339,0.0,0.0,14201.811063695388,4.9112713895738125e-11,temperature_in_benefit_band
175.0,0.33816426891737994,24.269550950592706,23.986312916790872,13950.0,220000.0,13950.0,0.0,0.0,13949.999999999922,-7.821654435247183e-11,temperature_in_benefit_band
180.0,0.3378930710390767,24.27470045252737,23.98831867998861,13712.979818810323,220000.0,13712.979818810323,0.0,0.0,13712.979818810283,-4.001776687800884e-11,temperature_in_benefit_band
185.0,0.33762623418707,24.279708265816538,23.990383623134143,13493.347362831084,220000.0,13493.347362831084,0.0,0.0,13493.34736283109,5.4569682106375694e-12,temperature_in_benefit_band
190.0,0.3373633638544968,24.284587370813185,23.992503619839912,13293.508971211035,220000.0,13293.508971211035,0.0,0.0,13293.508971211013,-2.1827872842550278e-11,temperature_in_benefit_band
195.0,0.3371040221078077,24.289351736417238,23.99467489345441,13115.654115187643,220000.0,13115.654115187643,0.0,0.0,13115.654115187584,-5.820766091346741e-11,temperature_in_benefit_band
200.0,0.3368477323777619,24.294016178114255,23.996894029194145,12961.731409782014,220000.0,12961.731409782014,0.0,0.0,12961.731409781936,-7.821654435247183e-11,temperature_in_benefit_band
205.0,0.33659398466301954,24.298596214203585,23.9991579831714,12833.427264364978,220000.0,12833.427264364978,0.0,0.0,12833.427264364938,-4.001776687800884e-11,temperature_in_benefit_band
210.0,0.3363422410899682,24.303107921238574,24.00146408834936,12732.147406003085,220000.0,12732.147406003085,0.0,0.0,12732.14740600313,4.547473508864641e-11,temperature_in_benefit_band
215.0,0.3360919417689663,24.30756778940587,24.003810057475974,12659.001478018725,220000.0,12659.001478018725,0.0,0.0,12659.001478018763,3.8198777474462986e-11,temperature_in_benefit_band
220.0,0.33584251088434547,24.31199257830495,24.006193983061326,12614.79088250566,220000.0,12614.79088250566,0.0,0.0,12614.790882505647,-1.2732925824820995e-11,temperature_in_benefit_band
225.0,0.3355933629532919,24.316399173366584,24.008614334471087,12600.0,220000.0,12600.0,0.0,0.0,12599.999999999955,-4.547473508864641e-11,temperature_in_benefit_band
230.0,0.3353439091871405,24.320804442981686,24.011069952211813,12614.79088250566,220000.0,12614.79088250566,0.0,0.0,12614.790882505657,-3.637978807091713e-12,temperature_in_benefit_band
235.0,0.33509356388766565,24.325225096308262,24.01356003948366,12659.001478018725,220000.0,12659.001478018725,0.0,0.0,12659.001478018808,8.36735125631094e-11,temperature_in_benefit_band
240.0,0.3348417508106448,24.32967754168925,24.016084151073734,12732.147406003085,220000.0,12732.147406003085,0.0,0.0,12732.147406003087,1.8189894035458565e-12,temperature_in_benefit_band
245.0,0.33458790942930655,24.33417774564924,24.018642179660382,12833.427264364977,220000.0,12833.427264364977,0.0,0.0,12833.427264365018,4.18367562815547e-11,temperature_in_benefit_band
250.0,0.3343315010312453,24.338741092541486,24.021234339596575,12961.731409782014,220000.0,12961.731409782014,0.0,0.0,12961.731409782014,0.0,temperature_in_benefit_band
255.0,0.33407201458399227,24.343382245082484,24.023861148240428,13115.65411518764,220000.0,13115.65411518764,0.0,0.0,13115.654115187595,-4.547473508864641e-11,temperature_in_benefit_band
260.0,0.33380897230665973,24.348115006230692,24.026523404904196,13293.508971211035,220000.0,13293.508971211035,0.0,0.0,13293.508971211038,3.637978807091713e-12,temperature_in_benefit_band
265.0,0.3335419348879183,24.35295218312683,24.029222167500638,13493.347362831084,220000.0,13493.347362831084,0.0,0.0,13493.347362831148,6.366462912410498e-11,temperature_in_benefit_band
270.0,0.3332705062940031,24.357905454101246,24.031958726978292,13712.979818810321,220000.0,13712.979818810321,0.0,0.0,13712.979818810401,8.003553375601768e-11,temperature_in_benefit_band
275.0,0.3329943381144614,24.36298524005269,24.034734579655264,13950.0,220000.0,13950.0,0.0,0.0,13949.999999999938,-6.184563972055912e-11,temperature_in_benefit_band
280.0,0.33271313339791775,24.368200581795552,24.037551397584902,14201.811063695337,220000.0,14201.811063695337,0.0,0.0,14201.8110636954,6.366462912410498e-11,temperature_in_benefit_band
285.0,0.3324266499352291,24.3735590252409,24.040410997115668,14465.654115187643,220000.0,14465.654115187643,0.0,0.0,14465.65411518762,-2.1827872842550278e-11,temperature_in_benefit_band
290.0,0.3321347029529771,24.379066516503798,24.043315305841382,14738.638434792048,220000.0,14738.638434792048,0.0,0.0,14738.638434792167,1.1823431123048067e-10,temperature_in_benefit_band
295.0,0.33183716718627765,24.384727309198862,24.04626632817545,15017.773149177336,220000.0,15017.773149177336,0.0,0.0,15017.773149177265,-7.09405867382884e-11,temperature_in_benefit_band
300.0,0.3315339783063157,24.39054388628399,24.049266109822963,15300.0,220000.0,15300.0,0.0,0.0,15299.999999999965,-3.456079866737127e-11,temperature_in_benefit_band
305.0,0.3312251336847905,24.396516898826963,24.052316701465667,15582.226850822664,220000.0,15582.226850822664,0.0,0.0,15582.226850822708,4.3655745685100555e-11,temperature_in_benefit_band
310.0,0.3309106924845213,24.402645123993405,24.055420122015455,15861.36156520795,220000.0,15861.36156520795,0.0,0.0,15861.361565207915,-3.456079866737127e-11,temperature_in_benefit_band
315.0,0.3305907750727429,24.408925444382422,24.05857832183025,16134.345884812357,220000.0,16134.345884812357,0.0,0.0,16134.345884812306,-5.093170329928398e-11,temperature_in_benefit_band
320.0,0.33026556176104815,24.415352850568425,24.061793146320028,16398.188936304658,220000.0,16398.188936304658,0.0,0.0,16398.18893630468,2.1827872842550278e-11,temperature_in_benefit_band
325.0,0.3299352908834208,24.421920468347388,24.065066300398616,16649.999999999996,220000.0,16649.999999999996,0.0,0.0,16650.000000000033,3.637978807091713e-11,temperature_in_benefit_band
330.0,0.3296002562312683,24.42861961174182,24.068399314256858,16887.020181189673,220000.0,16887.020181189673,0.0,0.0,16887.02018118966,-1.4551915228366852e-11,temperature_in_benefit_band
335.0,0.3292608038717155,24.435439862302584,24.071793510943454,17106.652637168914,220000.0,17106.652637168914,0.0,0.0,17106.652637168965,5.093170329928398e-11,temperature_in_benefit_band
340.0,0.32891732838256316,24.442369174673328,24.075249976239952,17306.49102878896,220000.0,17306.49102878896,0.0,0.0,17306.49102878898,1.8189894035458565e-11,temperature_in_benefit_band
345.0,0.32857026854415916,24.44939400777324,24.07876953130502,17484.34588481236,220000.0,17484.34588481236,0.0,0.0,17484.345884812385,2.546585164964199e-11,temperature_in_benefit_band
350.0,0.32822010253487544,24.456499480326844,24.082352708539876,17638.268590217984,220000.0,17638.268590217984,0.0,0.0,17638.268590218013,2.9103830456733704e-11,temperature_in_benefit_band
355.0,0.3278673426828385,24.463669548848134,24.085999731091462,17766.57273563502,220000.0,17766.57273563502,0.0,0.0,17766.57273563504,1.8189894035458565e-11,temperature_in_benefit_band
360.0,0.32751252983194296,24.470887205592927,24.089710496363008,17867.852593996915,220000.0,17867.852593996915,0.0,0.0,17867.852593996824,-9.094947017729282e-11,temperature_in_benefit_band
365.0,0.32715622738489497,24.478134693450333,24.09348456384378,17940.998521981273,220000.0,17940.998521981273,0.0,0.0,17940.998521981222,-5.093170329928398e-11,temperature_in_benefit_band
370.0,0.3267990150900204,24.48539373427217,24.097321147502516,17985.209117494338,220000.0,17985.209117494338,0.0,0.0,17985.20911749439,5.093170329928398e-11,temperature_in_benefit_band
375.0,0.3264414826417606,24.492645766756304,24.10121911291356,18000.0,220000.0,18000.0,0.0,0.0,18000.00000000006,5.820766091346741e-11,temperature_in_benefit_band
380.0,0.32608422316711944,24.499872189721334,24.10517697920347,17985.209117494338,220000.0,17985.209117494338,0.0,0.0,17985.20911749437,3.2741809263825417e-11,temperature_in_benefit_band
385.0,0.3257278266717769,24.50705460644641,24.109192925820558,17940.998521981273,220000.0,17940.998521981273,0.0,0.0,17940.998521981237,-3.637978807091713e-11,temperature_in_benefit_band
