time_s,soc,battery_core_temp_c,battery_surface_temp_c,requested_traction_power_w,available_traction_power_w,actual_traction_power_w,preconditioning_thermal_power_w,preconditioning_aux_power_w,battery_terminal_power_w,power_closure_residual_w,preconditioning_reason,incremental_aging_damage,cumulative_route_aging_damage
0.0,0.3996724361270038,45.00811303161468,44.782456140350874,15300.0,218530.55555555556,15300.0,-3958.3333333333335,1469.4444444444446,16769.444444444365,-7.935341272968799e-11,hot_arrival_precool,7.03119484370544e-08,7.03119484370544e-08
5.0,0.39933922090133156,45.015260422693764,44.56913284665483,15582.226850822663,218526.16458866908,15582.226850822663,-3971.506233992742,1473.835411330914,17056.062262153486,-9.072209650184959e-11,hot_arrival_precool,7.175548810479001e-08,1.420674365418444e-07
10.0,0.3990004141363568,45.0214671355362,44.359928233411644,15861.36156520795,218521.8345063725,15861.36156520795,-3984.4964808824234,1478.1654936274745,17339.527058835363,-6.093614501878619e-11,hot_arrival_precool,7.319075728798861e-08,2.15258193829833e-07
15.0,0.3986561357796876,45.026755724152245,44.15474287093336,16134.345884812357,218517.56360609157,16134.345884812357,-3997.309181725319,1482.4363939084396,17616.78227872077,-2.7284841053187847e-11,hot_arrival_precool,7.460204692488495e-08,2.8986024075471795e-07
20.0,0.3983065646566684,45.03114636453504,43.953479714342166,16398.18893630466,218513.35038034225,16398.18893630466,-4009.948858973212,1486.6496196577373,17884.838555962295,-1.0368239600211382e-10,hot_arrival_precool,7.59736217196721e-08,3.6583386247439003e-07
25.0,0.39795193656531025,45.0346569063722,43.75604403473201,16650.0,218509.19351677856,16650.0,-4022.4194496643067,1490.8064832214357,18140.8064832215,6.298250809777528e-11,hot_arrival_precool,7.728992081666404e-08,4.431237832910541e-07
30.0,0.397592541742072,45.03730294670532,43.562343352572825,16887.020181189677,218505.09189632264,16887.020181189677,-4034.7243110320874,1494.9081036773625,18381.928284867055,1.6143530956469476e-11,hot_arrival_precool,7.853576717450324e-08,5.216595504655573e-07
35.0,0.397228721724997,45.03909792564636,43.37228737343146,17106.652637168914,218501.04458929462,17106.652637168914,-4046.8662321161614,1498.955410705387,18605.608047874222,-7.889866537880152e-11,hot_arrival_precool,7.969658183418169e-08,6.01356132299739e-07
40.0,0.39686086564755807,45.04005324382695,43.185787926076074,17306.49102878896,218497.05084949205,17306.49102878896,-4058.8474515238754,1502.9491505079584,18809.440179296977,5.661604518536478e-11,hot_arrival_precool,8.075859875735247e-08,6.821147310570915e-07
45.0,0.396489406003086,45.04017840080262,43.002758903021075,17484.345884812356,218493.11010620746,17484.345884812356,-4070.669681377664,1506.8898937925546,18991.235778605023,1.1323209037072957e-10,hot_arrival_precool,8.170907552673722e-08,7.638238065838286e-07
50.0,0.3961148139257778,45.03948115317307,42.82311620355742,17638.268590217984,218489.2219542131,17638.268590217984,-4082.33413736071,1510.7780457869032,19149.046636004845,-4.206412995699793e-11,hot_arrival_precool,8.25364949744054e-08,8.46360301558234e-07
55.0,0.3957375940399102,45.03796769072658,42.64677767929865,17766.57273563502,218485.3861417847,17766.57273563502,-4093.8415746459646,1514.6138582153214,19281.18659385036,1.8417267710901797e-11,hot_arrival_precool,8.323075275552998e-08,9.29591054313764e-07
60.0,0.3953582789339543,45.03564282848717,42.47366308225666,17867.852593996915,218481.60255687832,17867.852593996915,-4105.192329365015,1518.3974431216718,19386.25003711856,-2.7057467377744615e-11,hot_arrival_precool,8.37833260258711e-08,1.0133743803396352e-06
