time_s,soc,battery_core_temp_c,battery_surface_temp_c,requested_traction_power_w,available_traction_power_w,actual_traction_power_w,preconditioning_thermal_power_w,preconditioning_aux_power_w,battery_terminal_power_w,power_closure_residual_w,preconditioning_reason,incremental_aging_damage,cumulative_route_aging_damage
0.0,0.34958504306291327,-14.986879972873545,-14.736842105263158,15300.0,214586.84210526315,15300.0,5000.0,5413.1578947368425,20713.157894736818,-2.4556356947869062e-11,cold_arrival_preheat,1.1327476493468538e-08,1.1327476493468538e-08
5.0,0.34916426968543113,-14.97224013590694,-14.47916973242146,15582.226850822663,214586.84210526315,15582.226850822663,5000.0,5413.1578947368425,20995.384745559502,-2.7284841053187847e-12,cold_arrival_preheat,1.152883315245119e-08,2.285630964591973e-08
10.0,0.34873773858368995,-14.956116089882151,-14.226832669931445,15861.36156520795,214586.84210526315,15861.36156520795,5000.0,5413.1578947368425,21274.519459944786,-6.366462912410498e-12,cold_arrival_preheat,1.1730335648080931e-08,3.458664529400066e-08
15.0,0.34830557140634283,-14.938545580210754,-13.979684699201638,16134.345884812357,214586.84210526315,16134.345884812357,5000.0,5413.1578947368425,21547.503779549188,-1.1823431123048067e-11,cold_arrival_preheat,1.1929831231944685e-08,4.6516476525945346e-08
20.0,0.34786795152495653,-14.91956854371743,-13.73758355027066,16398.18893630466,214586.84210526315,16398.18893630466,5000.0,5413.1578947368425,21811.3468310415,-2.7284841053187847e-12,cold_arrival_preheat,1.2125152258300996e-08,5.864162878424634e-08
25.0,0.3474251221357996,-14.899227112066143,-13.500390859389096,16650.0,214586.84210526315,16650.0,5000.0,5413.1578947368425,22063.157894736843,9.094947017729282e-13,cold_arrival_preheat,1.231414243021221e-08,7.095577121445856e-08
30.0,0.3469773836892078,-14.877565569064027,-13.267972127596394,16887.020181189677,214586.84210526315,16887.020181189677,5000.0,5413.1578947368425,22300.17807592649,-2.8194335754960775e-11,cold_arrival_preheat,1.2494684652143936e-08,8.34504558666025e-08
35.0,0.34652509067078646,-14.854630260095465,-13.040196679348595,17106.652637168914,214586.84210526315,17106.652637168914,5000.0,5413.1578947368425,22519.810531905772,1.546140993013978e-11,cold_arrival_preheat,1.2664730001835748e-08,9.611518586843824e-08
40.0,0.34606864776670343,-14.830469453093118,-12.816937620238416,17306.49102878896,214586.84210526315,17306.49102878896,5000.0,5413.1578947368425,22719.648923525783,-2.091837814077735e-11,cold_arrival_preheat,1.2822327248814693e-08,1.0893751311725294e-07
45.0,0.3456085054531035,-14.805133151703345,-12.59807179285823,17484.345884812356,214586.84210526315,17484.345884812356,5000.0,5413.1578947368425,22897.50377954923,3.3651303965598345e-11,cold_arrival_preheat,1.2965652277861275e-08,1.219031653951142e-07
50.0,0.3451451550571161,-14.778672862604425,-12.383479729890393,17638.268590217984,214586.84210526315,17638.268590217984,5000.0,5413.1578947368425,23051.426484954845,1.9099388737231493e-11,cold_arrival_preheat,1.3093036727425925e-08,1.3499620212254014e-07
55.0,0.3446791233438898,-14.751141320236808,-12.173045603568559,17766.57273563502,214586.84210526315,17766.57273563502,5000.0,5413.1578947368425,23179.730630371836,-2.8194335754960775e-11,cold_arrival_preheat,1.3202995129008499e-08,1.4819919725154863e-07
60.0,0.3442109666904467,-14.722592173453956,-11.966657170737456,17867.852593996915,214586.84210526315,17867.852593996915,5000.0,5413.1578947368425,23281.010488733766,8.185452315956354e-12,cold_arrival_preheat,1.3294249836354659e-08,1.614934470879033e-07
65.0,0.34374126491277796,-14.69307963974903,-11.76420571284569,17940.998521981273,214586.84210526315,17940.998521981273,5000.0,5413.1578947368425,23354.156416718084,-3.183231456205249e-11,cold_arrival_preheat,1.3365753064234579e-08,1.7485920015213787e-07
70.0,0.3432706148173869,-14.662658133709247,-11.565585970333778,17985.209117494338,214586.84210526315,17985.209117494338,5000.0,5413.1578947368425,23398.367012231207,2.637534635141492e-11,cold_arrival_preheat,1.3416705415385812e-08,1.8827590556752368e-07
75.0,0.3427996235523308,-14.631381877154292,-11.370696071024357,18000.0,214586.84210526315,18000.0,5000.0,5413.1578947368425,23413.15789473685,8.185452315956354e-12,cold_arrival_preheat,1.3446570359291558e-08,2.0172247592681523e-07
80.0,0.34232890183563003,-14.599304498993343,-11.179437452279279,17985.209117494338,214586.84210526315,17985.209117494338,5000.0,5413.1578947368425,23398.367012231192,1.1823431123048067e-11,cold_arrival_preheat,1.3455084234796137e-08,2.1517756016161136e-07
85.0,0.34185905714065046,-14.566478633162466,-10.9917147768541,17940.998521981273,214586.84210526315,17940.998521981273,5000.0,5413.1578947368425,23354.156416718135,1.9099388737231493e-11,cold_arrival_preheat,1.3442261475775e-08,2.2861982163738637e-07
90.0,0.34139068691867763,-14.532955523066109,-10.80743584254922,17867.852593996915,214586.84210526315,17867.852593996915,5000.0,5413.1578947368425,23281.010488733733,-2.4556356947869062e-11,cold_arrival_preheat,1.3408394899774837e-08,2.420282165371612e-07
95.0,0.34092437193838204,-14.498784640740604,-10.626511485923283,17766.57273563502,214586.84210526315,17766.57273563502,5000.0,5413.1578947368425,23179.730630371872,8.185452315956354e-12,cold_arrival_preheat,1.3354051047502453e-08,2.553822675846636e-07
100.0,0.34046066982023265,-14.46401332849285,-10.448855480492929,17638.268590217984,214586.84210526315,17638.268590217984,5000.0,5413.1578947368425,23051.42648495485,2.2737367544323206e-11,cold_arrival_preheat,1.3280060709624399e-08,2.68662328294288e-07
105.0,0.3400001088411886,-14.428686470063441,-10.274384429988862,17484.345884812356,214586.84210526315,17484.345884812356,5000.0,5413.1578947368425,22897.503779549206,8.185452315956354e-12,cold_arrival_preheat,1.3187504919838616e-08,2.818498332141266e-07
110.0,0.33954318208124473,-14.392846197450387,-10.10301765736669,17306.49102878896,214586.84210526315,17306.49102878896,5000.0,5413.1578947368425,22719.648923525783,-2.091837814077735e-11,cold_arrival_preheat,1.3077696823198162e-08,2.9492753003732477e-07
