time_s,soc,battery_core_temp_c,battery_surface_temp_c,requested_traction_power_w,available_traction_power_w,actual_traction_power_w,preconditioning_thermal_power_w,preconditioning_aux_power_w,battery_terminal_power_w,power_closure_residual_w,preconditioning_reason,incremental_aging_damage,cumulative_route_aging_damage
50.0,0.39643729358208607,45.08379077892124,44.916794559184396,17638.268590217984,220000.0,17638.268590217984,0.0,0.0,17638.268590218115,1.3096723705530167e-10,strategy_none,7.486101831962261e-08,7.644136666167938e-07
55.0,0.3960899130395835,45.091642306723806,44.911077230443794,17766.57273563502,220000.0,17766.57273563502,0.0,0.0,17766.572735635033,1.0913936421275139e-11,strategy_none,7.553243162502817e-08,8.399460982418219e-07
60.0,0.3957405183841954,45.099484793398645,44.90564181075542,17867.852593996915,220000.0,17867.852593996915,0.0,0.0,17867.852593996948,3.2741809263825417e-11,strategy_none,7.60687316205616e-08,9.160148298623835e-07
65.0,0.39538966276381265,45.10730359570393,44.900481961809525,17940.998521981273,220000.0,17940.998521981273,0.0,0.0,17940.998521981222,-5.093170329928398e-11,strategy_none,7.646324198585923e-08,9.924780718482427e-07
70.0,0.39503791531958743,45.115083586336006,44.89559119087355,17985.209117494338,220000.0,17985.209117494338,0.0,0.0,17985.20911749443,9.094947017729282e-11,strategy_none,7.671105423639639e-08,1.0691891260846391e-06
75.0,0.3946858549200587,45.12280936077976,44.89096284448382,18000.0,220000.0,18000.0,0.0,0.0,18000.000000000106,1.0550138540565968e-10,strategy_none,7.68091140186286e-08,1.1459982401032678e-06
80.0,0.3943340637850141,45.13046544828484,44.88659010641201,17985.209117494338,220000.0,17985.209117494338,0.0,0.0,17985.20911749418,-1.5643308870494366e-10,strategy_none,7.675627574393202e-08,1.2227545158471998e-06
85.0,0.39398312107045974,45.138036523573376,44.88246599989555,17940.998521981273,220000.0,17940.998521981273,0.0,0.0,17940.998521981262,-1.0913936421275139e-11,strategy_none,7.655332396274465e-08,1.2993078398099445e-06
90.0,0.39363359648656987,45.145507615856744,44.87858339405351,17867.852593996915,220000.0,17867.852593996915,0.0,0.0,17867.852593996846,-6.912159733474255e-11,strategy_none,7.620296083739135e-08,1.3755108006473358e-06
95.0,0.39328604402013095,45.15286431179752,44.87493501434263,17766.57273563502,220000.0,17766.57273563502,0.0,0.0,17766.572735635018,-3.637978807091713e-12,strategy_none,7.570976005790568e-08,1.4512205607052416e-06
